location_code,cidade,bairro,logradouro,location,neighborhood_code,city_code
12658,limeira,vila claudia,avenida antonio ometo,limeira|vila claudia|avenida antonio ometo,5215,202
1427,birigui,chacaras caicara,rua benjamin strozi,birigui|chacaras caicara|rua benjamin strozi,683,43
1440,birigui,jardim vitrine,rua silvio vieira coelho,birigui|jardim vitrine|rua silvio vieira coelho,2837,43
17021,praia grande,solemar ii,avenida ministro marcos freire,praia grande|solemar ii|avenida ministro marcos freire,4848,305
11939,jardinopolis,jardinopolis,avenida prefeito newton reis,jardinopolis|jardinopolis|avenida prefeito newton reis,2858,187
22251,sao jose do rio preto,rural,rua doutor coutinho cavalcante,s.jose do rio preto|rural|rua doutor coutinho cavalcante,4680,351
1422,birigui,centro,rua jose fiorotto,birigui|centro|rua jose fiorotto,513,43
1421,birigui,centro,avenida governador pedro de toledo,birigui|centro|avenida governador pedro de toledo,513,43
12929,marilia,jardim universitario,rua doutor zoroastro gouveia,marilia|jardim universitario|rua doutor zoroastro gouveia,2784,214
14886,osasco,ayrosa,rua salvador nunes,osasco|ayrosa|rua salvador nunes,152,249
789,assis,centro,rua sebastiao da silva leite,assis|centro|rua sebastiao da silva leite,513,27
30252,sao paulo,pirituba,rua rosalio jose da conceicao,s.paulo|pirituba|rua rosalio jose da conceicao,4216,358
22092,sao gertrudes,centro,avenida 3,s.gertrudes|centro|avenida 3,513,345
34711,sao vicente,parque bitaru,rua loreti,s.vicente|parque bitaru|rua loreti,3806,366
1453,birigui,vila izabel marin,rua aurora,birigui|vila izabel marin|rua aurora,5460,43
7234,guaicara,centro,rua jose souto pereira,guaicara|centro|rua jose souto pereira,513,126
34681,sao vicente,itarare,avenida airton senna da silva,s.vicente|itarare|avenida airton senna da silva,1319,366
17094,rafard,centro,rua alan rolim barbosa,rafard|centro|rua alan rolim barbosa,513,314
26130,sao paulo,iguatemi,travessa nega manhosa,s.paulo|iguatemi|travessa nega manhosa,1258,358
33440,sao paulo,vila jacui,rua silveira da nobrega,s.paulo|vila jacui|rua silveira da nobrega,5463,358
8208,guarulhos,jardim das nacoes,rua venezuela,guarulhos|jardim das nacoes|rua venezuela,1705,136
3533,campinas,vila costa e silva,rua dos carajas,campinas|vila costa e silva|rua dos carajas,5242,61
23545,sao paulo,bras,rua coronel antonio marcelo,s.paulo|bras|rua coronel antonio marcelo,394,358
9097,guarulhos,vila carmela i,rua manoel reis da silva,guarulhos|vila carmela i|rua manoel reis da silva,5184,136
16148,peruibe,belmira novaes,rua parana,peruibe|belmira novaes|rua parana,349,275
6671,ferraz de vasconcelos,tanquinho,rua das saudades,ferraz de vasconcelos|tanquinho|rua das saudades,4887,118
28837,sao paulo,lapa,rua bartolomeu bueno,s.paulo|lapa|rua bartolomeu bueno,3439,358
20077,sao bento do sapucai,jardim boa esperanca,estrada monjolinho,s.bento do sapucai|jardim boa esperanca|estrada monjolinho,1515,336
9502,hortolandia,vila real santista,rua hilda maria dos santos,hortolandia|vila real santista|rua hilda maria dos santos,5786,139
13457,maua,jardim zaira,rua sebastiao antonio da silva,maua|jardim zaira|rua sebastiao antonio da silva,2854,217
33626,sao paulo,vila mariana,rua madre cabrini,s.paulo|vila mariana|rua madre cabrini,5552,358
22653,sao jose dos campos,residencial galo branco,avenida benedito luiz de medeiros,s.jose dos campos|residencial galo branco|avenida benedito luiz de medeiros,4583,352
31196,sao paulo,sao lucas,rua balalaica,s.paulo|sao lucas|rua balalaica,4761,358
32545,sao paulo,tucuruvi,rua comandante gualberto,s.paulo|tucuruvi|rua comandante gualberto,4940,358
17994,rio claro,jardim olinda,avenida 68,rio claro|jardim olinda|avenida 68,2312,324
19749,santo andre,vila pires,avenida capitao mario toledo de camargo,s.andre|vila pires|avenida capitao mario toledo de camargo,5747,331
34682,sao vicente,itarare,avenida manoel da nobrega,s.vicente|itarare|avenida manoel da nobrega,1319,366
7438,guaruja,vila maia,rua quintino bocaiuva,guaruja|vila maia|rua quintino bocaiuva,5533,135
9652,indaiatuba,jardim pedroso,rua primo jose mationi,indaiatuba|jardim pedroso|rua primo jose mationi,2375,153
34952,santos,campo grande,rua joao carvalho filho,santos|campo grande|rua joao carvalho filho,441,375
7212,franco da rocha,vila ramos,rodovia luiz salomao chama,franco da rocha|vila ramos|rodovia luiz salomao chama,5781,122
28405,sao paulo,jardim tiete,rua henrique mazzauti,s.paulo|jardim tiete|rua henrique mazzauti,2750,358
16189,peruibe,jangada,rua barao do rio branco,peruibe|jangada|rua barao do rio branco,1355,275
1412,bertioga,morada da praia,rotatoria rua do gonzaga,bertioga|morada da praia|rotatoria rua do gonzaga,3605,42
12073,jundiai,chacara urbana,avenida antonio frederico ozanan,jundiai|chacara urbana|avenida antonio frederico ozanan,674,194
35023,santos,marape,rua dona ana neri,santos|marape|rua dona ana neri,3540,375
36701,taboao da serra,j trianon,rua angelo ferreira fagundes,taboao da serra|j trianon|rua angelo ferreira fagundes,1341,389
17854,ribeirao preto,vila tiberio,avenida jeronimo goncalves,ribeirao preto|vila tiberio|avenida jeronimo goncalves,5943,320
907,barretos,centro,avenida 29,barretos|centro|avenida 29,513,35
33414,sao paulo,vila jacui,rua jose bernardo cardoso junior,s.paulo|vila jacui|rua jose bernardo cardoso junior,5463,358
12547,limeira,jardim nova italia,avenida doutor fabricio vampre,limeira|jardim nova italia|avenida doutor fabricio vampre,2272,202
35090,santos,vila nova,avenida rangel pestana,santos|vila nova|avenida rangel pestana,5645,375
0,adamantina,agenor de campos,avenida governador mario covas junior,adamantina|agenor de campos|avenida governador mario covas junior,13,0
24479,sao paulo,carrao,rua mongagua,s.paulo|carrao|rua mongagua,476,358
29177,sao paulo,mooca,rua marques de valenca,s.paulo|mooca|rua marques de valenca,3604,358
23891,sao paulo,campo grande,praca nova olinda,s.paulo|campo grande|praca nova olinda,441,358
18050,rio das pedras,centro,rua francisco correa de barros,rio das pedras|centro|rua francisco correa de barros,513,325
12150,jundiai,jardim novo horizonte,estrada municipal do varjao,jundiai|jardim novo horizonte|estrada municipal do varjao,2295,194
35037,santos,ponta da praia,avenida bartolomeu de gusmao,santos|ponta da praia|avenida bartolomeu de gusmao,4238,375
22150,sao jose do barreiro,centro,rua siqueira reis,s.jose do barreiro|centro|rua siqueira reis,513,349
18158,santo andre,bairro casa branca,rua alcides de queiros,s.andre|bairro casa branca|rua alcides de queiros,170,331
36690,taboao da serra,j tres marias,rua jose vaz de oliveira,taboao da serra|j tres marias|rua jose vaz de oliveira,1340,389
28749,sao paulo,lajeado,rua guaiapacare,s.paulo|lajeado|rua guaiapacare,3437,358
11682,jacarei,jardim paraiba,avenida major acacio ferreira,jacarei|jardim paraiba|avenida major acacio ferreira,2344,182
37254,valinhos,bairro sao cristovao,rua sao carlos,valinhos|bairro sao cristovao|rua sao carlos,267,415
23321,sao paulo,bela vista,rua peixoto gomide,s.paulo|bela vista|rua peixoto gomide,341,358
23503,sao paulo,brasilandia,rua parapua,s.paulo|brasilandia|rua parapua,395,358
36685,taboao da serra,j tres marias,rua ermelino jose de oliveira,taboao da serra|j tres marias|rua ermelino jose de oliveira,1340,389
12619,limeira,parque egistro ragazzo,avenida ambrosio fumagali,limeira|parque egistro ragazzo|avenida ambrosio fumagali,3889,202
22028,sao carlos,prol jd medeiros,rua jeronimo costa terra,s.carlos|prol jd medeiros|rua jeronimo costa terra,4426,340
8597,guarulhos,pimentas,rua arenopolis,guarulhos|pimentas|rua arenopolis,4204,136
1338,bauru,vila cardia,rua piaui,bauru|vila cardia|rua piaui,5182,40
1769,caieiras,santa ines,estrada do caraguata,caieiras|santa ines|estrada do caraguata,4708,57
2689,campinas,jd esplanada,rua elisio prado moreira,campinas|jd esplanada|rua elisio prado moreira,3013,61
22090,sao fe do sul,vila sao jose,rua onze,s.fe do sul|vila sao jose|rua onze,5886,344
31889,sao paulo,sapopemba,rua antonio lazaro,s.paulo|sapopemba|rua antonio lazaro,4779,358
583,artur nogueira,jardim sacilotto,rua antonio da cunha claro,artur nogueira|jardim sacilotto|rua antonio da cunha claro,2517,25
32732,sao paulo,vila aurora,rua manuel benicio,s.paulo|vila aurora|rua manuel benicio,5088,358
20028,sao barbara d oeste,planalto do sol ii,rotatoria avenida mogi-guacu,s.barbara d oeste|planalto do sol ii|rotatoria avenida mogi-guacu,4227,335
11234,itaquaquecetuba,vila sao carlos,rua tapuia,itaquaquecetuba|vila sao carlos|rua tapuia,5878,170
7418,guaruja,portal doguaruja,avenida salim farah maluf,guaruja|portal doguaruja|avenida salim farah maluf,4262,135
9513,hortolandia,vila real,rua jose da silva galvao,hortolandia|vila real|rua jose da silva galvao,5784,139
37404,varzea paulista,jardim itajai,rua bigua,varzea paulista|jardim itajai|rua bigua,1957,420
35353,sorocaba,jardim santa marcia,rua professora nair nogueira jordao,sorocaba|jardim santa marcia|rua professora nair nogueira jordao,2579,385
5434,diadema,conceicao,avenida sete de setembro,diadema|conceicao|avenida sete de setembro,881,99
28421,sao paulo,jardim uniserve,rua roberto baldin,s.paulo|jardim uniserve|rua roberto baldin,2782,358
24368,sao paulo,capao redondo,rua paulino vital de morais,s.paulo|capao redondo|rua paulino vital de morais,459,358
14295,mogi das cruzes,vl industrial,rua jurandir bino ferreira,mogi das cruzes|vl industrial|rua jurandir bino ferreira,6037,227
2638,campinas,jd do lago,rua jaci teixeira camargo,campinas|jd do lago|rua jaci teixeira camargo,2988,61
30090,sao paulo,pirajussara,avenida carlos lacerda,s.paulo|pirajussara|avenida carlos lacerda,4213,358
13898,mogi das cruzes,botujuru,rua doutor manjim da cunha,mogi das cruzes|botujuru|rua doutor manjim da cunha,388,227
28769,sao paulo,lajeado,rua manuel alvares pimentel,s.paulo|lajeado|rua manuel alvares pimentel,3437,358
30032,sao paulo,pinheiros,rua doutor jose almeida de camargo,s.paulo|pinheiros|rua doutor jose almeida de camargo,4210,358
22049,sao carlos,vila lutfalla,avenida getulio vargas,s.carlos|vila lutfalla|avenida getulio vargas,5527,340
28876,sao paulo,lapa,rua guaicurus,s.paulo|lapa|rua guaicurus,3439,358
17721,ribeirao preto,pq ribeirao preto,rua dante seno,ribeirao preto|pq ribeirao preto|rua dante seno,4372,320
6858,franca,parque vila izabel,rua goias,franca|parque vila izabel|rua goias,4154,120
8646,guarulhos,pimentas,rua gentio do ouro,guarulhos|pimentas|rua gentio do ouro,4204,136
16144,peruibe,area rural,rodovia sp 055,peruibe|area rural|rodovia sp 055,123,275
28487,sao paulo,jd sao luis,avenida tomas de souza,s.paulo|jd sao luis|avenida tomas de souza,3311,358
24100,sao paulo,campo limpo,rua mario neme,s.paulo|campo limpo|rua mario neme,442,358
37162,tupa,jardim aritana,rua joaquim murtinho,tupa|jardim aritana|rua joaquim murtinho,1467,409
32997,sao paulo,vila curuca,rua pedro rodrigues,s.paulo|vila curuca|rua pedro rodrigues,5250,358
24359,sao paulo,capao redondo,rua mozart pinto,s.paulo|capao redondo|rua mozart pinto,459,358
15924,osasco,vila yara,rua joao oxisque,osasco|vila yara|rua joao oxisque,5980,249
3449,campinas,res mauro marcondes,rua hilario baldo,campinas|res mauro marcondes|rua hilario baldo,4537,61
3092,campinas,jd tropical,rua julio girardi,campinas|jd tropical|rua julio girardi,3357,61
8605,guarulhos,pimentas,rua bela vista,guarulhos|pimentas|rua bela vista,4204,136
28012,sao paulo,jardim maia,rua francisco antonio meira,s.paulo|jardim maia|rua francisco antonio meira,2087,358
18562,santo andre,jardim do estadio,rua minotauro,s.andre|jardim do estadio|rua minotauro,1744,331
887,barra bonita,centro,rua conego francisco ferreira delgado,barra bonita|centro|rua conego francisco ferreira delgado,513,33
7446,guaruja,vila santo antonio,avenida santos dumont,guaruja|vila santo antonio|avenida santos dumont,5872,135
30942,sao paulo,santo amaro,avenida adolfo pinheiro,s.paulo|santo amaro|avenida adolfo pinheiro,4727,358
35694,sumare,jardim sao domingos,rua quirilio ravagnani,sumare|jardim sao domingos|rua quirilio ravagnani,2632,386
1372,bebedouro,jardim maraja,avenida raul furquim,bebedouro|jardim maraja|avenida raul furquim,2097,41
16426,piracicaba,parque piracicaba,rua ipeuna,piracicaba|parque piracicaba|rua ipeuna,4025,284
18065,rio grande da serra,recanto alpino,rua arlequim,rio grande da serra|recanto alpino|rua arlequim,4466,326
455,araraquara,vila godoi,rua major carvalho filho,araraquara|vila godoi|rua major carvalho filho,5372,22
13731,maua,vila magini,rua da patria,maua|vila magini|rua da patria,5532,217
1279,bauru,conjunto habitacional presidente eurico,rua nelson garcia,bauru|conjunto habitacional presidente eurico|rua nelson garcia,958,40
17643,ribeirao preto,nova alianca,rua leda vassimon,ribeirao preto|nova alianca|rua leda vassimon,3653,320
14515,mogi guacu,vila paraiso,avenida dos trabalhadores,mogi guacu|vila paraiso|avenida dos trabalhadores,5709,228
6619,ferraz de vasconcelos,jd temporim,rua prudente de moraes,ferraz de vasconcelos|jd temporim|rua prudente de moraes,3352,118
4751,cotia,jd monte santo,avenida brasil,cotia|jd monte santo|avenida brasil,3159,92
36260,suzano,jd portugalia,rua doutor aniz fadul,suzano|jd portugalia|rua doutor aniz fadul,3235,387
16130,pedro de toledo,area rural,avenida brasil,pedro de toledo|area rural|avenida brasil,123,271
34464,sao paulo,vila sonia,rua joaquim galvao,s.paulo|vila sonia|rua joaquim galvao,5913,358
26766,sao paulo,itaquera,rua sao joao do mereti,s.paulo|itaquera|rua sao joao do mereti,1317,358
4,aguai,centro,rua valins,aguai|centro|rua valins,513,1
35955,suzano,cidade cruzeiro do sul,alameda jaime forte,suzano|cidade cruzeiro do sul|alameda jaime forte,758,387
22316,sao jose do rio preto,vila sao pedro,rua roberto simonsen,s.jose do rio preto|vila sao pedro|rua roberto simonsen,5894,351
23977,sao paulo,campo grande,rua tabare,s.paulo|campo grande|rua tabare,441,358
27477,sao paulo,jardim angela,rua utucura,s.paulo|jardim angela|rua utucura,1434,358
30208,sao paulo,pirituba,rua jose vidal,s.paulo|pirituba|rua jose vidal,4216,358
14797,nova odessa,jardim bela vista,rua julio marmile,nova odessa|jardim bela vista|rua julio marmile,1501,243
16415,piracicaba,morumbi,avenida guerino lubiani,piracicaba|morumbi|avenida guerino lubiani,3626,284
1491,boituva,vila ferriello,rua camilo tame,boituva|vila ferriello|rua camilo tame,5338,46
4731,cotia,jd josemar,rua jose augusto pedroso,cotia|jd josemar|rua jose augusto pedroso,3093,92
16975,praia grande,quietude,avenida alcebiades pacheco,praia grande|quietude|avenida alcebiades pacheco,4439,305
35810,sumare,res ypiranga,rua vitor argentino,sumare|res ypiranga|rua vitor argentino,4550,386
5011,cruzeiro,v ana rosa novaes,rua carlos bregalda,cruzeiro|v ana rosa novaes|rua carlos bregalda,4957,95
25004,sao paulo,cidade lider,avenida aricanduva,s.paulo|cidade lider|avenida aricanduva,774,358
34999,santos,estuario,rua cipriano barata,santos|estuario|rua cipriano barata,1138,375
17030,praia grande,trevo,avenida ilda rosa da cunha,praia grande|trevo|avenida ilda rosa da cunha,4933,305
37400,varzea paulista,jardim itajai,avenida pinheirinho,varzea paulista|jardim itajai|avenida pinheirinho,1957,420
23768,sao paulo,cambuci,rua dona ana neri,s.paulo|cambuci|rua dona ana neri,430,358
926,barretos,jardim ramos,avenida dos macons,barretos|jardim ramos|avenida dos macons,2442,35
899,barretos,california,avenida jose amendola neto,barretos|california|avenida jose amendola neto,426,35
5264,diadema,casa grande,rua pedro alexandrino,diadema|casa grande|rua pedro alexandrino,479,99
3989,carapicuiba,area rural,rua anacleto martins,carapicuiba|area rural|rua anacleto martins,123,71
28422,sao paulo,jardim universidade pinheiros,avenida das nacoes unidas,s.paulo|jardim universidade pinheiros|avenida das nacoes unidas,2783,358
22416,sao jose dos campos,conjunto residencial cidade jardim,rua enseada,s.jose dos campos|conjunto residencial cidade jardim|rua enseada,984,352
16587,poa,jd antonio picosse0,avenida niteroi,poa|jd antonio picosse0|avenida niteroi,2908,294
4336,carapicuiba,vila municipal,avenida do bosque,carapicuiba|vila municipal|avenida do bosque,5618,71
26379,sao paulo,itaim bibi,rua helena,s.paulo|itaim bibi|rua helena,1302,358
16195,peruibe,jd peruibe,rua dona benedita do carmo,peruibe|jd peruibe|rua dona benedita do carmo,3223,275
115,americana,jardim ipiranga,avenida iacanga,americana|jardim ipiranga|avenida iacanga,1947,9
7355,guaruja,enseada,rua projetada c,guaruja|enseada|rua projetada c,1101,135
16147,peruibe,area rural,rua onix,peruibe|area rural|rua onix,123,275
1776,caieiras,vera tereza,rua vitor vilafranca,caieiras|vera tereza|rua vitor vilafranca,4995,57
18260,santo andre,bangu,rua tanabi,s.andre|bangu|rua tanabi,317,331
481,araras,centro,rua nunes machado,araras|centro|rua nunes machado,513,23
37054,taubate,independencia,rua professor jose ezequiel de souza,taubate|independencia|rua professor jose ezequiel de souza,1274,402
34897,santana de parnaiba,pq santana,rua veneza,santana de parnaiba|pq santana|rua veneza,4378,374
35005,santos,gonzaga,rua doutor manoel vitorino,santos|gonzaga|rua doutor manoel vitorino,1210,375
21278,sao bernardo do campo,pauliceia,rua 31 de marco,s.bernardo do campo|pauliceia|rua 31 de marco,4170,337
2908,campinas,jd nova europa,rua aristides xavier de brito,campinas|jd nova europa|rua aristides xavier de brito,3193,61
17767,ribeirao preto,ribeirania,avenida leao xiii,ribeirao preto|ribeirania|avenida leao xiii,4639,320
13936,mogi das cruzes,centro,rua professor alvaro pavan,mogi das cruzes|centro|rua professor alvaro pavan,513,227
22255,sao jose do rio preto,rural,rua duarte pacheco,s.jose do rio preto|rural|rua duarte pacheco,4680,351
1347,bauru,vila ipiranga,rua mateus tarzia,bauru|vila ipiranga|rua mateus tarzia,5444,40
17811,ribeirao preto,vila amelia,rua porto alegre,ribeirao preto|vila amelia|rua porto alegre,5038,320
14512,mogi guacu,vila maria,rua antenor gomes de oliveira,mogi guacu|vila maria|rua antenor gomes de oliveira,5542,228
12564,limeira,jardim paulista,rua virgilio camara matos,limeira|jardim paulista|rua virgilio camara matos,2363,202
16558,poa,cidade tiradentes,avenida dos metalurgicos,poa|cidade tiradentes|avenida dos metalurgicos,813,294
19354,santo andre,vila camilopolis,rua boa vista,s.andre|vila camilopolis|rua boa vista,5173,331
24439,sao paulo,carrao,rua carlos silva,s.paulo|carrao|rua carlos silva,476,358
16424,piracicaba,parque da rua do porto,rua do porto,piracicaba|parque da rua do porto|rua do porto,3839,284
17864,ribeirao preto,vila tiberio,rua martinico prado,ribeirao preto|vila tiberio|rua martinico prado,5943,320
34524,sao pedro do turvo,centro,rua luis costa,s.pedro do turvo|centro|rua luis costa,513,360
9688,iracemapolis,jardim herminio demarchi,rua lucia borba,iracemapolis|jardim herminio demarchi|rua lucia borba,1916,158
16848,porto feliz,area rural,rua olinto batistela,porto feliz|area rural|rua olinto batistela,123,300
8411,guarulhos,morros,rua colibri,guarulhos|morros|rua colibri,3625,136
35342,sorocaba,jardim santa barbara,rua orelio sabadim,sorocaba|jardim santa barbara|rua orelio sabadim,2537,385
17997,rio claro,jardim paulista ii,rua 26,rio claro|jardim paulista ii|rua 26,2364,324
1203,barueri,pq viana,estrada dos pinheiros,barueri|pq viana|estrada dos pinheiros,4400,37
7498,guarulhos,aracolia,rua cristino castro,guarulhos|aracolia|rua cristino castro,104,136
34384,sao paulo,vila santo henrique,avenida condessa elisabeth de robiano,s.paulo|vila santo henrique|avenida condessa elisabeth de robiano,5874,358
2511,campinas,jd anchieta,rua fr caneca,campinas|jd anchieta|rua fr caneca,2903,61
9648,indaiatuba,jardim morada do sol,rua francisco rossi,indaiatuba|jardim morada do sol|rua francisco rossi,2202,153
29134,sao paulo,mooca,rua almirante brasil,s.paulo|mooca|rua almirante brasil,3604,358
23487,sao paulo,brasilandia,rua jose francisco chaves,s.paulo|brasilandia|rua jose francisco chaves,395,358
284,amparo,parque rodrigues,rua cabo joao dos santos,amparo|parque rodrigues|rua cabo joao dos santos,4088,11
31654,sao paulo,sao miguel,rua pascoal zimbardi,s.paulo|sao miguel|rua pascoal zimbardi,4766,358
34615,sao vicente,catiapoa,rua osias isidoro dos santos,s.vicente|catiapoa|rua osias isidoro dos santos,496,366
37184,ubatuba,maranduba,rua sargento rubens leite,ubatuba|maranduba|rua sargento rubens leite,3539,412
18344,santo andre,centro,rua senador flaquer,s.andre|centro|rua senador flaquer,513,331
7066,franco da rocha,chacara pouso alegre,rua joao faria,franco da rocha|chacara pouso alegre|rua joao faria,624,122
24887,sao paulo,cidade dutra,avenida do jangadeiro,s.paulo|cidade dutra|avenida do jangadeiro,764,358
18025,rio claro,vila martins,avenida m 13,rio claro|vila martins|avenida m 13,5567,324
16537,pitangueiras,centro,rua sidnei suzati,pitangueiras|centro|rua sidnei suzati,513,292
3048,campinas,jd sta clara,rua jose de freitas baiao neto,campinas|jd sta clara|rua jose de freitas baiao neto,3334,61
13326,maua,jardim rosina,rua david boscariol,maua|jardim rosina|rua david boscariol,2508,217
25216,sao paulo,cidade tiradentes,rua conjunto sitio conceicao,s.paulo|cidade tiradentes|rua conjunto sitio conceicao,813,358
27914,sao paulo,jardim helena,rua paranacity,s.paulo|jardim helena|rua paranacity,1910,358
14385,mogi guacu,itacolomy,avenida padre jaime,mogi guacu|itacolomy|avenida padre jaime,1298,228
32132,sao paulo,saude,rua engenheiro toledo malta,s.paulo|saude|rua engenheiro toledo malta,4782,358
30076,sao paulo,pinheiros,rua sao columbano,s.paulo|pinheiros|rua sao columbano,4210,358
18110,santo andre,area industrial 27,rua geovane batista pireli,s.andre|area industrial 27|rua geovane batista pireli,114,331
13051,maua,jardim alzira franco,avenida dos estados,maua|jardim alzira franco|avenida dos estados,1407,217
35661,sumare,jardim minesota,rua manoel messias da silva,sumare|jardim minesota|rua manoel messias da silva,2173,386
12989,maua,capuava,rua manoel da nobrega,maua|capuava|rua manoel da nobrega,465,217
3102,campinas,jd vista alegre,rua odila maria de andrade,campinas|jd vista alegre|rua odila maria de andrade,3377,61
13017,maua,centro,rua do comercio,maua|centro|rua do comercio,513,217
22308,sao jose do rio preto,vila nossa senhora aparecida,rua redentora,s.jose do rio preto|vila nossa senhora aparecida|rua redentora,5638,351
28569,sao paulo,jd sao luis,rua rinaldo de handel,s.paulo|jd sao luis|rua rinaldo de handel,3311,358
27877,sao paulo,jardim helena,rua borboleta amarela,s.paulo|jardim helena|rua borboleta amarela,1910,358
1271,bauru,bela vista,rua virgilio malta,bauru|bela vista|rua virgilio malta,341,40
7749,guarulhos,centro,avenida salgado filho,guarulhos|centro|avenida salgado filho,513,136
3259,campinas,pq das flores,rua guilherme campos,campinas|pq das flores|rua guilherme campos,4303,61
19541,santo andre,vila homero thon,rua alexandre dumas,s.andre|vila homero thon|rua alexandre dumas,5414,331
3814,campo limpo paulista,jd europa,avenida marginal direita,campo limpo paulista|jd europa|avenida marginal direita,3021,62
33277,sao paulo,vila guilherme,rua dos machados,s.paulo|vila guilherme|rua dos machados,5395,358
13053,maua,jardim anchieta,rua alfredo de souza,maua|jardim anchieta|rua alfredo de souza,1430,217
27921,sao paulo,jardim helena,rua salvador fernandes cardia,s.paulo|jardim helena|rua salvador fernandes cardia,1910,358
22212,sao jose do rio preto,residencial cidade jardim,rua doutor argemiro acaiaba de toledo,s.jose do rio preto|residencial cidade jardim|rua doutor argemiro acaiaba de toledo,4573,351
6830,franca,bairro cidade nova,rua santos pereira,franca|bairro cidade nova|rua santos pereira,173,120
13691,maua,vila feital,rua raul pompeia,maua|vila feital|rua raul pompeia,5336,217
28867,sao paulo,lapa,rua faustolo,s.paulo|lapa|rua faustolo,3439,358
903,barretos,centenario,avenida trinta e nove,barretos|centenario|avenida trinta e nove,510,35
9638,indaiatuba,cidade nova,rua almirante barroso,indaiatuba|cidade nova|rua almirante barroso,784,153
16350,piracicaba,centro,rua antonio correa barbosa,piracicaba|centro|rua antonio correa barbosa,513,284
27706,sao paulo,jardim colina,rua ribeiro lacerda,s.paulo|jardim colina|rua ribeiro lacerda,1635,358
30575,sao paulo,rio pequeno,rua joaquina da lapa,s.paulo|rio pequeno|rua joaquina da lapa,4651,358
1340,bauru,vila edson francisco,rua sargento manoel faria inojosa,bauru|vila edson francisco|rua sargento manoel faria inojosa,5309,40
170,americana,nova carioba,rua antonio giordano,americana|nova carioba|rua antonio giordano,3662,9
7551,guarulhos,bonsucesso,estrada presidente juscelino kubitscheck,guarulhos|bonsucesso|estrada presidente juscelino kubitscheck,373,136
37389,varzea paulista,jardim america,rua itupeva,varzea paulista|jardim america|rua itupeva,1415,420
14407,mogi guacu,jardim guacuano,rua jose scanavaqui,mogi guacu|jardim guacuano|rua jose scanavaqui,1880,228
16601,poa,jd antonio picosse0,rua novo horizonte,poa|jd antonio picosse0|rua novo horizonte,2908,294
17554,ribeirao preto,jd florestan fernandes,rua jose rodrigues mota,ribeirao preto|jd florestan fernandes|rua jose rodrigues mota,3030,320
24231,sao paulo,capao redondo,rua abilio cesar,s.paulo|capao redondo|rua abilio cesar,459,358
24362,sao paulo,capao redondo,rua nilton machado de barros,s.paulo|capao redondo|rua nilton machado de barros,459,358
14549,mogi mirim,centro,avenida brasil,mogi mirim|centro|avenida brasil,513,229
1418,bertioga,vl tamoios,rua julio prestes,bertioga|vl tamoios|rua julio prestes,6086,42
33099,sao paulo,vila formosa,avenida sapopemba,s.paulo|vila formosa|avenida sapopemba,5351,358
14439,mogi guacu,jardim santa teresinha,rua marli ricci toso,mogi guacu|jardim santa teresinha|rua marli ricci toso,2594,228
24415,sao paulo,carrao,avenida dezenove de janeiro,s.paulo|carrao|avenida dezenove de janeiro,476,358
14488,mogi guacu,rural,rua jose cristino de oliveira campos,mogi guacu|rural|rua jose cristino de oliveira campos,4680,228
33525,sao paulo,vila madalena,rua horacio lane,s.paulo|vila madalena|rua horacio lane,5530,358
2902,campinas,jd nova esperanca,rua olga melilo,campinas|jd nova esperanca|rua olga melilo,3192,61
9013,guarulhos,tranquilidade,rua doutor renato pacheco braga,guarulhos|tranquilidade|rua doutor renato pacheco braga,4925,136
2581,campinas,jd campos eliseos,rua atilio bucci,campinas|jd campos eliseos|rua atilio bucci,2949,61
24065,sao paulo,campo limpo,rua gulnar,s.paulo|campo limpo|rua gulnar,442,358
8969,guarulhos,taboao,rua fernando antonio,guarulhos|taboao|rua fernando antonio,4874,136
17560,ribeirao preto,jd heitor rigon,rua jose alcantara,ribeirao preto|jd heitor rigon|rua jose alcantara,3046,320
23947,sao paulo,campo grande,rua miguel yunes,s.paulo|campo grande|rua miguel yunes,441,358
12143,jundiai,jardim do lago,rua luis de oliveira arruda,jundiai|jardim do lago|rua luis de oliveira arruda,1748,194
218,americana,sao vito,rua luis vedovelo,americana|sao vito|rua luis vedovelo,4777,9
27351,sao paulo,jardim angela,estrada do aracati,s.paulo|jardim angela|estrada do aracati,1434,358
22267,sao jose do rio preto,rural,rua joao sardinha,s.jose do rio preto|rural|rua joao sardinha,4680,351
22353,sao jose dos campos,campo dos alemaes,rua jose m de oliveira,s.jose dos campos|campo dos alemaes|rua jose m de oliveira,440,352
3411,campinas,pq vista alegre,rua otacilio pereira da silva,campinas|pq vista alegre|rua otacilio pereira da silva,4401,61
536,araras,jardim universitario,rua imperatriz leopoldina,araras|jardim universitario|rua imperatriz leopoldina,2784,23
15304,osasco,jardim das flores,rua cravo,osasco|jardim das flores|rua cravo,1698,249
6841,franca,centro,rua general carneiro,franca|centro|rua general carneiro,513,120
22510,sao jose dos campos,jardim morumbi,rua jose bras da silva,s.jose dos campos|jardim morumbi|rua jose bras da silva,2207,352
4477,colina,vila guarnieri,rua oito,colina|vila guarnieri|rua oito,5393,83
26437,sao paulo,itaim paulista,avenida marechal tito,s.paulo|itaim paulista|avenida marechal tito,1303,358
7447,guaruja,vila santo antonio,rua paulo montinho,guaruja|vila santo antonio|rua paulo montinho,5872,135
