location_code,cidade,bairro,logradouro,location,neighborhood_code,city_code
821,atibaia,jardim brogota,"rodovia dom pedro i, km 75","atibaia|jardim brogota|rodovia dom pedro i, km 75",1547,28
23519,sao paulo,brasilandia,rua sernambi,s.paulo|brasilandia|rua sernambi,395,358
13737,maua,vila magini,rua recanto dos passaros,maua|vila magini|rua recanto dos passaros,5532,217
15193,osasco,ind autonomista,rua osvaldo colino,osasco|ind autonomista|rua osvaldo colino,1270,249
22468,sao jose dos campos,jardim cruzeiro do sul,rua joao francisco da silva,s.jose dos campos|jardim cruzeiro do sul|rua joao francisco da silva,1666,352
19601,santo andre,vila lazira,rua tome de souza,s.andre|vila lazira|rua tome de souza,5503,331
453,araraquara,vila ferroviaria,avenida maria antonia camargo de oliveir,araraquara|vila ferroviaria|avenida maria antonia camargo de oliveir,5339,22
27720,sao paulo,jardim colina,rua vitor costa,s.paulo|jardim colina|rua vitor costa,1635,358
19400,santo andre,vila curuca,rua almerim,s.andre|vila curuca|rua almerim,5250,331
33678,sao paulo,vila maria,avenida sargento miguel de souza filho,s.paulo|vila maria|avenida sargento miguel de souza filho,5542,358
1391,bertioga,area rural,rua dr lincolin bolivar neves,bertioga|area rural|rua dr lincolin bolivar neves,123,42
15197,osasco,ind remedios,avenida nossa senhora dos remedios,osasco|ind remedios|avenida nossa senhora dos remedios,1272,249
12267,jundiai,torres de sao jose,rodovia sp anhanguera km 67,jundiai|torres de sao jose|rodovia sp anhanguera km 67,4922,194
4890,cotia,pq mirante da mata,rua vicente celestino,cotia|pq mirante da mata|rua vicente celestino,4342,92
33333,sao paulo,vila imperio,rua doutor gustavo da veiga,s.paulo|vila imperio|rua doutor gustavo da veiga,5429,358
10305,itapevi,jd rosemary,rua serra dos gardaus,itapevi|jd rosemary|rua serra dos gardaus,3264,165
10605,itaquaquecetuba,estancia paraiso,rua macedonia,itaquaquecetuba|estancia paraiso|rua macedonia,1129,170
2553,campinas,jd campinas,rua joao lopes vieira,campinas|jd campinas|rua joao lopes vieira,2944,61
11953,jarinu,bairro dos soares,estrada jar-386,jarinu|bairro dos soares|estrada jar-386,221,188
3577,campinas,vila itapura,rua con neri,campinas|vila itapura|rua con neri,5454,61
6634,ferraz de vasconcelos,jd triangulo,rua prefeito takume koike,ferraz de vasconcelos|jd triangulo|rua prefeito takume koike,3356,118
20797,sao bernardo do campo,dos casa,avenida central das flores,s.bernardo do campo|dos casa|avenida central das flores,1082,337
782,aruja,vila pilar,estrada dos correas,aruja|vila pilar|estrada dos correas,5742,26
6947,francisco morato,jardim vassouras ii,rua vinte e dois,francisco morato|jardim vassouras ii|rua vinte e dois,2801,121
9747,itanhaem,ivoty,rodovia padre manoel da nobrega,itanhaem|ivoty|rodovia padre manoel da nobrega,1327,161
5469,diadema,conceicao,rua dolomita,diadema|conceicao|rua dolomita,881,99
25966,sao paulo,guarapiranga,rua cosme da silveira,s.paulo|guarapiranga|rua cosme da silveira,1232,358
18506,santo andre,jardim carla,rua siracusa,s.andre|jardim carla|rua siracusa,1589,331
14473,mogi guacu,rural,avenida waldemar amaral,mogi guacu|rural|avenida waldemar amaral,4680,228
17215,ribeirao pires,jd santa luzia,avenida santa clara,ribeirao pires|jd santa luzia|avenida santa clara,3283,319
12483,limeira,conj. resao  victor d'andrea,rua egilda aparecida francisc,limeira|conj. res. victor d'andrea|rua egilda aparecida francisc,910,202
16932,praia grande,guilhermina,avenida presidente kenedy,praia grande|guilhermina|avenida presidente kenedy,1240,305
6688,ferraz de vasconcelos,vila andiara,rua juvenal guerra,ferraz de vasconcelos|vila andiara|rua juvenal guerra,5047,118
12936,marilia,palmital,avenida republica,marilia|palmital|avenida republica,3772,214
34676,sao vicente,gonzaguinha,rua candido rodrigues,s.vicente|gonzaguinha|rua candido rodrigues,1211,366
16663,poa,jd t palma,rua aracatuba,poa|jd t palma|rua aracatuba,3350,294
3832,campo limpo paulista,jd paulista,rua primeiro de dezembro,campo limpo paulista|jd paulista|rua primeiro de dezembro,3219,62
1765,caieiras,pq genio ii,retorno rodovia dos bandeirantes,caieiras|pq genio ii|retorno rodovia dos bandeirantes,4324,57
13359,maua,jardim sao jose,rua matilde ledislau,maua|jardim sao jose|rua matilde ledislau,2654,217
8399,guarulhos,mato das cobras,rua calendula,guarulhos|mato das cobras|rua calendula,3558,136
37512,votorantim,jardim archilla,rua rafael parri,votorantim|jardim archilla|rua rafael parri,1463,424
2935,campinas,jd pauliceia,rua decival rodrigues de araujo,campinas|jd pauliceia|rua decival rodrigues de araujo,3218,61
17687,ribeirao preto,parque residencial candido portinari,avenida professora dina rizzi,ribeirao preto|parque residencial candido portinari|avenida professora dina rizzi,4060,320
22525,sao jose dos campos,jardim nova florida,estrada rodovia presidente dutra,s.jose dos campos|jardim nova florida|estrada rodovia presidente dutra,2265,352
17960,rio claro,jardim bela vista,estrada velha de ipeuna,rio claro|jardim bela vista|estrada velha de ipeuna,1501,324
26114,sao paulo,iguatemi,rua vicente turno,s.paulo|iguatemi|rua vicente turno,1258,358
25401,sao paulo,conjunto promorar raposo tavares,rua cachoeira do arrependido,s.paulo|conjunto promorar raposo tavares|rua cachoeira do arrependido,974,358
36488,suzano,vila nova urupes,avenida governador mario covas junior,suzano|vila nova urupes|avenida governador mario covas junior,5678,387
25793,sao paulo,grajau,rua paulino gotfritz,s.paulo|grajau|rua paulino gotfritz,1213,358
3463,campinas,residencial parque da fazenda,avenida giuseppe caggiano,campinas|residencial parque da fazenda|avenida giuseppe caggiano,4600,61
17707,ribeirao preto,pq ind avelino,rua vereador aparecido araujo,ribeirao preto|pq ind avelino|rua vereador aparecido araujo,4329,320
10542,itaquaquecetuba,ch aguas da pedra,rua mombuca,itaquaquecetuba|ch aguas da pedra|rua mombuca,536,170
33764,sao paulo,vila maria,rua sargento rodoval cabral trindade,s.paulo|vila maria|rua sargento rodoval cabral trindade,5542,358
23488,sao paulo,brasilandia,rua joviniano de oliveira,s.paulo|brasilandia|rua joviniano de oliveira,395,358
1598,cacapava,centro,estrada mantiqueira,cacapava|centro|estrada mantiqueira,513,54
18596,santo andre,jardim irene,avenida mauricio de medeiros,s.andre|jardim irene|avenida mauricio de medeiros,1951,331
6630,ferraz de vasconcelos,jd triangulo,avenida presidente tancredo neves,ferraz de vasconcelos|jd triangulo|avenida presidente tancredo neves,3356,118
2356,campinas,jardim itatinga,rua caiua,campinas|jardim itatinga|rua caiua,1975,61
29117,sao paulo,moema,rua vasco crevatim,s.paulo|moema|rua vasco crevatim,3586,358
5189,diadema,canhema,rua goias,diadema|canhema|rua goias,452,99
17518,ribeirao preto,jardim pedra branca,rua nilza de oliveira strambi,ribeirao preto|jardim pedra branca|rua nilza de oliveira strambi,2371,320
15029,osasco,centro,rua do fico,osasco|centro|rua do fico,513,249
9306,hortolandia,jardim das colinas,avenida sao francisco de assis,hortolandia|jardim das colinas|avenida sao francisco de assis,1697,139
12315,jundiai,vila hortolandia,rodovia sp 360,jundiai|vila hortolandia|rodovia sp 360,5419,194
14403,mogi guacu,jardim guacuano,estrada municipal deputado mario beni,mogi guacu|jardim guacuano|estrada municipal deputado mario beni,1880,228
17481,ribeirao preto,jardim cristo redentor,rua carlos rossini,ribeirao preto|jardim cristo redentor|rua carlos rossini,1663,320
12882,mairipora,sausalito,estrada caraguata,mairipora|sausalito|estrada caraguata,4784,210
6322,embu-guacu,itarare,rua antonio simoes,embu-guacu|itarare|rua antonio simoes,1319,109
34661,sao vicente,esplanada dos barreiros,acesso ponte avenida vereadora angelina,s.vicente|esplanada dos barreiros|acesso ponte avenida vereadora angelina,1108,366
33660,sao paulo,vila maria,acesso ponte aricanduva,s.paulo|vila maria|acesso ponte aricanduva,5542,358
29142,sao paulo,mooca,rua carlos venture,s.paulo|mooca|rua carlos venture,3604,358
11132,itaquaquecetuba,pq piratininga,rua landri sales,itaquaquecetuba|pq piratininga|rua landri sales,4355,170
18937,santo andre,parque das nacoes,rua palestina,s.andre|parque das nacoes|rua palestina,3854,331
4534,cosmopolis,bosque,estrada pesqueiro do gaucho,cosmopolis|bosque|estrada pesqueiro do gaucho,377,90
27103,sao paulo,jaguara,rua manoel jose de franca,s.paulo|jaguara|rua manoel jose de franca,1349,358
32806,sao paulo,vila campestre,rua francesco solimena,s.paulo|vila campestre|rua francesco solimena,5177,358
13914,mogi das cruzes,centro,rodovia sp-088,mogi das cruzes|centro|rodovia sp-088,513,227
8711,guarulhos,pimentas,rua petrolina,guarulhos|pimentas|rua petrolina,4204,136
35658,sumare,jardim minesota,rua alcangelo alves barbosa,sumare|jardim minesota|rua alcangelo alves barbosa,2173,386
6627,ferraz de vasconcelos,jd tinoco,rua jose do patrocinio,ferraz de vasconcelos|jd tinoco|rua jose do patrocinio,3354,118
18969,santo andre,parque gerassi,avenida professor luis inacio de anhaia,s.andre|parque gerassi|avenida professor luis inacio de anhaia,3909,331
18738,santo andre,jardim santo andre,rua luiz gonzaga,s.andre|jardim santo andre|rua luiz gonzaga,2608,331
30601,sao paulo,rio pequeno,rua ramondetti giacomo,s.paulo|rio pequeno|rua ramondetti giacomo,4651,358
12251,jundiai,setor industrial,rodovia sp 300,jundiai|setor industrial|rodovia sp 300,4804,194
21793,sao caetano do sul,jardim sao caetano,rua maria teixeira mourao maresti,s.caetano do sul|jardim sao caetano|rua maria teixeira mourao maresti,2623,339
18080,roseira,centro,rua mario tamborindegui,roseira|centro|rua mario tamborindegui,513,328
32935,sao paulo,vila curuca,rua cantidiano guimaraes,s.paulo|vila curuca|rua cantidiano guimaraes,5250,358
37501,votorantim,area rural,rua elvira correa gomes,votorantim|area rural|rua elvira correa gomes,123,424
29504,sao paulo,parque do carmo,rua sao teodoro,s.paulo|parque do carmo|rua sao teodoro,3864,358
25780,sao paulo,grajau,rua major lucio dias ramos,s.paulo|grajau|rua major lucio dias ramos,1213,358
35781,sumare,parque virgilio viel,rua rodrigo domingos da silva,sumare|parque virgilio viel|rua rodrigo domingos da silva,4156,386
21668,sao bernardo do campo,vila santa luzia,rua doutor vital brasil,s.bernardo do campo|vila santa luzia|rua doutor vital brasil,5855,337
28497,sao paulo,jd sao luis,rua alfred messel,s.paulo|jd sao luis|rua alfred messel,3311,358
2122,campinas,cid jardim,rua gastao rocha leao,campinas|cid jardim|rua gastao rocha leao,733,61
16538,pitangueiras,jardim sao gabriel,rua arnaldo carone,pitangueiras|jardim sao gabriel|rua arnaldo carone,2639,292
12259,jundiai,terra nova,rodovia sp 348,jundiai|terra nova|rodovia sp 348,4904,194
11639,jacarei,chacaras reunidas igarapes,rua antonio da silva jardim,jacarei|chacaras reunidas igarapes|rua antonio da silva jardim,708,182
3420,campinas,prost de souza,avenida gov pedro de toledo,campinas|prost de souza|avenida gov pedro de toledo,4429,61
2617,campinas,jd das bandeiras,rua joao tonoli,campinas|jd das bandeiras|rua joao tonoli,2980,61
16041,paulinia,joao aranha,avenida pedro antonio bordignon,paulinia|joao aranha|avenida pedro antonio bordignon,3401,265
35878,suzano,cidade boa vista itapevi,rua antonio francisco da silva,suzano|cidade boa vista itapevi|rua antonio francisco da silva,749,387
11411,itaquaquecetuba,vl zeferina,rua jequitai,itaquaquecetuba|vl zeferina|rua jequitai,6090,170
21173,sao bernardo do campo,montanhao,rua padre jose calixto vieira,s.bernardo do campo|montanhao|rua padre jose calixto vieira,3593,337
32285,sao paulo,tatuape,avenida conde de frontin,s.paulo|tatuape|avenida conde de frontin,4894,358
28575,sao paulo,jd sao luis,rua theresa mouco de oliveira,s.paulo|jd sao luis|rua theresa mouco de oliveira,3311,358
30320,sao paulo,ponte rasa,rua conceicao do castelo,s.paulo|ponte rasa|rua conceicao do castelo,4245,358
19331,santo andre,vila bastos,avenida jose caballero,s.andre|vila bastos|avenida jose caballero,5112,331
15195,osasco,ind mazzei,avenida presidente medici,osasco|ind mazzei|avenida presidente medici,1271,249
3731,campinas,vl castelo branco,rua joaquim jose dos santos camargo,campinas|vl castelo branco|rua joaquim jose dos santos camargo,6023,61
9454,hortolandia,parque odimar,rua emiliano sanches,hortolandia|parque odimar|rua emiliano sanches,4010,139
2136,campinas,cidade satelite iris,rua doutor julio wilfredo castro perez,campinas|cidade satelite iris|rua doutor julio wilfredo castro perez,805,61
35384,sorocaba,jardim tortelli,rua paschoal bruno coraza,sorocaba|jardim tortelli|rua paschoal bruno coraza,2758,385
19864,santo andre,vila suica,rua siracusa,s.andre|vila suica|rua siracusa,5925,331
24630,sao paulo,chacara gaivotas,rua sao rafael,s.paulo|chacara gaivotas|rua sao rafael,594,358
24750,sao paulo,cidade ademar,rua elisabete,s.paulo|cidade ademar|rua elisabete,738,358
7032,francisco morato,pq 120,rua minas gerais,francisco morato|pq 120|rua minas gerais,4279,121
12731,louveira,cidade jardim,avenida jose luiz mazalli,louveira|cidade jardim|avenida jose luiz mazalli,771,205
34037,sao paulo,vila natal,rua sabia natal,s.paulo|vila natal|rua sabia natal,5627,358
26441,sao paulo,itaim paulista,praca dalva domingos santos,s.paulo|itaim paulista|praca dalva domingos santos,1303,358
